,name,color,mat,sty,occa,patt,info,price,path
78,再生尼龍束腰外套,黑色,尼龍,"Sleek, modern, casual, sophisticated.","Casual, everyday wear.","Solid color, logo detail.",這款束腰外套線條流麗簡潔，散發有如經典男裝恤衫般時尚高雅的魅力。Prada結合不同風格元素，締造創新設計。這款再生尼龍服飾採用獨特的彈性索繩衣襬，為服飾注入運動風。,"NT$ 84,000",image/prada/man/12.jpg
79,夾棉再生尼龍背心,黑色,尼龍,"Sleek, modern, sporty.","Casual, Outdoor, Cold-Weather",Quilting,夾棉造型背心呈現流麗線條，所選用的再生尼龍是以海洋塑膠廢料循環再造並淨化製造的創新面料。服飾綴有搪瓷金屬三角形標誌。,"NT$ 67,000",image/prada/man/13.jpg
80,絲絨牛仔布束腰外套,自然色,棉,"Minimalist, contemporary, casual.","Casual, everyday wear, spring/autumn outerwear.","Solid, logo",束腰外套線條簡潔俐落，配搭觸感柔軟的絲絨牛仔布，締造復古造型。恤衫款衣領及闊肩突顯外套的寬鬆剪裁，所綴上的優雅搪瓷金屬三角形標誌，將1913年在Mario Prada設計的奢華行李箱首次亮相的版本重新演繹。,"NT$ 82,000",image/prada/man/14.jpg
81,絲絨牛仔布恤衫,自然色,棉,"Simple, classic, minimalistic.","Casual, smart-casual events.",Solid-color,全新Prada系列重新演繹經典牛仔布，大玩不同效果和意義。恤衫以經洗水處理的布料縫製，綴以Prada經典而獨特的三角形標誌。,"NT$ 60,000",image/prada/man/15.jpg
82,五口袋細條燈芯絨長褲,自然色,棉,"Minimalist, classic, tailored.","Casual, everyday wear.","Solid, monochromatic, uniform, texture-visible.",全新Prada系列重新演繹經典牛仔布，大玩不同效果和意義。這款長褲以細條燈芯絨縫製，綴以Prada獨特而經典的三角形標誌。,"NT$ 48,500",image/prada/man/16.jpg
83,短身燈芯絨羽絨背心,粉白色,棉,"Modern, sporty, casual","Casual, outdoor, cold weather.",Horizontal-quilting,這款短身燈芯絨羽絨背心展現Prada的混搭特色。綻放光澤及復古韻味的布料糅合運動風設計，構成獨特的美學交流，碰撞出和諧火花。款式採用循環再造布料襯裡及鵝絨夾層，並綴以經典的搪瓷金屬三角形標誌。,"NT$ 76,000",image/prada/man/17.jpg
84,棉質抓毛連帽衛衣,自然色,棉,Casual-luxury,"Casual, everyday wear.","Logo, text, crest, rope.",剪裁寬鬆的連帽衛衣選用柔軟的棉質抓毛，洋溢運動風魅力，再以特大標誌點綴。羅紋針織飾邊昇華設計，索繩衣襬及寬敞的袋鼠口袋再錦上添花。,"NT$ 60,000",image/prada/man/18.jpg
85,羊毛混羊絨圓領毛衣,白色,羊絨,"Minimalist, designer, elegant","Casual, Everyday, Smart-Casual","Logo, ribbing",這款圓領毛衣將流麗百搭的線條結合精湛工藝，展露簡約魅力。服飾採用時尚的方正剪裁，綴以金銀線針織標誌。,"NT$ 70,000",image/prada/man/19.jpg
86,羊毛混紡外套,藍色,羊毛,"Classic, elegant, minimalistic.","Business, formal, cold weather.","Solid, monochromatic",經過精簡處理，這款外套結合了簡單剪裁和精緻設計，散發時尚優雅氣質。這款羊毛混紡面料的包覆式外套，以極簡細節重新演釋了品牌的經典三角標誌，為休閒風格增添個性。,"NT$ 295,000",image/prada/man/20.jpg
87,羊毛外套,粉白色,綿羊皮,"Casual, cozy, plush, trendy.","Casual, winterwear","Solid, plain",這款羊毛外套線條時尚現代，充滿休閒魅力。經典襯衫領塑造出柔軟、繭狀的輪廓，飾有對比色的優雅鈕扣。重新詮釋的皮革三角標誌以概念設計呈現，為這款作品增添獨特經典風采。,"NT$ 305,000",image/prada/man/21.jpg
88,皮革外套,黑色,皮革,"Classic, timeless, rugged, edgy.","Casual, streetwear, cool weather.","Solid, leather, ribbed trim.",這款皮革外套的復古設計採用受當代美學風格啟發的精緻結構進行了重新詮釋。絎縫設計配搭柔和線條和相襯顏色的優雅恤衫式羊毛皮衣領。皮革三角標誌為這款實用的服裝增添了休閒魅力。,"NT$ 240,000",image/prada/man/22.jpg
89,機能性面料單襟西裝,可可啡/紅色,尼龍,"Contemporary, bold, color-blocked.","Formal, business, or sophisticated events.","Solid, two-toned, color-blocking.",呈現原創色彩對比的全新單襟外套，把西裝剪裁及街頭服元素巧妙融合。這款機能性面料服飾採用經典的兩扣設計，配搭翻領及嵌線袋，並以創新的輕巧夾層營造奪目效果。,"NT$ 150,000",image/prada/man/23.jpg
90,機能性面料大褸,沙漠棕色/深綠色,尼龍,"Modern, elegant, color-blocked, structured","Formal, business, or sophisticated outdoor events.",Color-blocking,這款機能性面料大褸把復古造型及時尚細節共冶一爐，活現Prada的混搭概念。服飾於2023年秋冬系列登場，配備三扣袖口、筆直袖管，背部設有開衩。,"NT$ 190,000",image/prada/man/24.jpg
91,長版麂皮上衣,橡樹棕,皮革,"Minimalist, contemporary, sleek.","Casual, artistic events or fashion-forward outings.","Monochrome, solid-color, suede texture.",此款式是 2023 秋冬系列的原創設計，外形新穎，立體而富份量感。設計的核心靈感是「轉變」，並以嶄新的美學風格和物料呈現眼前。這款上衣以極致高雅的方式演繹制服的概念。麂皮的經典外表源自精湛的工藝：以人手拋光，再加以蠟面潤飾，賦予服裝與別不同的質感。,"NT$ 150,000",image/prada/man/25.jpg
92,麂皮大褸,橡樹棕,皮革,"Classic, sophisticated, tailored, elegant.","Business, formal events, or smart casual occasions.",Solid,此款式是 2023 秋冬系列的原創設計，外形新穎，立體而富份量感。設計的核心靈感是「轉變」，並以嶄新的美學風格和物料呈現眼前。這款大褸以極致高雅的方式演繹制服的概念。麂皮的經典外表源自精湛的工藝：以人手拋光，再加以蠟面潤飾，賦予服裝與別不同的質感。,"NT$ 275,000",image/prada/man/26.jpg
93,夾層棉質上衣,白色,棉,"Minimalist, contemporary, sporty.","Casual, streetwear, or athletic.","Solid, logo.",這款服飾呼應羽絨外套的概念之餘融會Prada經典的上衣設計，別具原創新穎魅力。服飾以防水棉布縫製，重新演繹舒適的概念。,"NT$ 55,000",image/prada/man/27.jpg
94,中磅棉質羽絨外套,白色,棉,"Minimalist, contemporary, oversized.",Casual,Solid-color,2023 秋冬系列重新探尋舒心的簡約感。此棉質羽絨外套回歸基本，鵝絨襯墊營造的誇張體積成焦點所在。設計大玩「簡化」概念，採用現代風格圓領，以同色系布質三角標誌作點綴。,"NT$ 98,000",image/prada/man/28.jpg
95,短身棉質羽絨外套,白色,棉,"Contemporary, minimalist, sporty","Winter, Outdoors",Solid,棉質羽絨服採用包圍式簡約設計，搖身一變成為極具現代感的概念服裝。鵝絨填充物強調其柔和的圓形體積，塑造出時尚、簡潔的輪廓。外套採用精緻的線條，經過精簡處理，為招牌同色三角標誌和提花標籤等微妙細節留出空間。,"NT$ 85,000",image/prada/man/29.jpg
96,長身棉質派克大衣,軍綠色,棉,"Military-inspired, utilitarian, long, lined, buttoned.",Winter weather conditions.,Solid color,實用派克外套以新的比例重新詮釋，將休閒風格革新，以精緻、現代的方式呈現。直線突顯超長棉質服裝的輪廓，而經過細緻工藝處理的做舊飾面，則透過功能細節為百搭風格注入活力。,"NT$ 200,000",image/prada/man/30.jpg
97,羊毛漁夫褸,藍色,羊毛,"Classic, elegant, tailored, traditional.","Formal, cold weather.","Solid-color, no-pattern",2023 秋冬系列重新以精緻的高級時裝剪裁，重新演繹經典而傳統的實用款式。這款羊毛漁夫褸採用精準的直筒剪裁，立體衣袖和比例散發時尚魅力。經典皮革套索釦開合令造型更具特色，糅合靈活百搭的設計元素和精巧細節，突顯其精緻的美學風格。,"NT$ 160,000",image/prada/man/31.jpg
98,再生尼龍短袖恤衫,黑色,尼龍,"Casual, contemporary.",Casualwear,Solid black.,方正剪裁短袖恤衫展現時尚格調。恤衫選用創新的再生尼龍面料，並綴以獨特的古巴領及按扣開合。襟袋的搪瓷金屬三角形標誌令恤衫款式經典出眾。,"NT$ 47,000",image/prada/man/32.jpg
99,再生尼龍恤衫,黑色,尼龍,"Sleek, sophisticated, contemporary.","Business, formal events, office work.","Solid, logo.",時尚的再生尼龍恤衫選用以回收海洋塑膠廢料製造的特別尼龍紗線，流麗的設計飾以恤衫款衣領及長袖連按扣袖口。恤衫採用寬鬆剪裁，正面綴以搪瓷金屬三角形標誌。,"NT$ 52,000",image/prada/man/33.jpg
100,再生尼龍恤衫,黑色,尼龍,Contemporary utilitarian.,"Casual, Everyday, Streetwear",Solid,恤衫剪裁寬鬆，飾以巨大明袋及搭帶，以再生尼龍縫製，這種再生尼龍紗線 (ECONYL®) 是以回收自海洋的塑膠垃圾、漁網及紡織纖維廢料循環再造並淨化製造。Prada的傳統搪瓷金屬三角形標誌點綴設計。,"NT$ 71,000",image/prada/man/34.jpg
101,再生尼龍單襟外套,黑色,尼龍,"Formal, sophisticated, tailored.",Formal event,"Solid, monochromatic.",經典單襟外套飾以翻領、兩扣開合及背部開衩，注入時尚氣息。外套選用Prada創新獨特的再生尼龍，襟袋綴以經典搪瓷金屬三角形標誌。,"NT$ 95,000",image/prada/man/35.jpg
102,再生尼龍雨衣,黑色,尼龍,"Sleek, modern, minimalist.","Formal, business, or smart casual occasions.",Solid,機能性創新布料在頌揚二元對立的系列佔一席位，經時裝加工處理，體現Prada精髓。雨衣的線條簡潔雅致，所選用的創新再生尼龍以從海洋收集的塑膠物料、漁網及紡織纖維循環再造及淨化而成。,"NT$ 93,000",image/prada/man/36.jpg
103,再生尼龍外套,黑色,尼龍,"Minimalist, sophisticated, contemporary.",Business-casual events.,"Logo, solid colors.",外套採用筆直剪裁，融入恤衫的獨特元素，如尖角領及鈕扣開合等細節，體現Prada的可持續發展精神。設計選用創新再生尼龍面料，這種以回收海洋塑料循環再造的布料可無限循環再生。,"NT$ 83,000",image/prada/man/37.jpg
104,高科技彈性長褲,黑色,尼龍,"Contemporary, casual, minimalist, monochrome, streetwear-inspired.","Casual, everyday wear.",Solid,彈性機能性面料長褲採用裁縫工藝塑造筆直剪裁，於經典魅力中傾注時尚格調。別具一格的配搭，體現Prada系列的二元本色。,"NT$ 32,500",image/prada/man/38.jpg
105,再生尼龍及平織布T恤,黑色,棉,"Contemporary, urban, casual, sporty, minimalistic.","Casual, streetwear, urban exploration.",Plain,Prada平織布T恤是品牌的必備單品之一。T恤簡約中見奢華的設計及高雅魅力，重塑基本必需品並賦予嶄新意義。T恤正面綴有以創新永續的再生尼龍縫製的拉鍊口袋。搪瓷金屬三角形標誌增添經典韻味。,"NT$ 27,500",image/prada/man/39.jpg
106,再生尼龍百慕達短褲,黑色,尼龍,"Contemporary, sleek, monochromatic, tailored, urban.","Casual, urban-wear, outdoor.","Solid, plain.",男裝百慕達短褲綴有布質三角形標誌，是再生尼龍系列的單品。一系列可持續發展產品選用的再生ECONYL®是以海洋塑膠廢料、漁網及紡織纖維廢料循環再造並淨化製造的尼龍。,"NT$ 36,000",image/prada/man/40.jpg
107,再生尼龍羽絨外套,黑色,尼龍,"Monochromatic, sleek, structured, modern.","Formal, business, or sophisticated event.","Solid, monochromatic.",再生尼龍夾棉外套採用機能性設計及運動元素，並綴以金屬三角形標誌等精緻細節。柔軟的鵝絨夾層外套配有正面口袋及索繩帽兜。,"NT$ 78,000",image/prada/man/41.jpg
108,彈性棉質樽領衫,黑色,尼龍,"Contemporary, minimalist, urban.",Casual wear.,"Solid, plain, monochromatic",流麗樽領衫反映Prada的運動風精神。點綴樽領的三角形標誌由Mario Prada設計，1913年於旅行箱首次亮相。,"NT$ 33,500",image/prada/man/42.jpg
109,再生尼龍長褲,黑色,尼龍,"Minimalist, casual, contemporary.",Casualwear.,"Plain, Logo",長褲綴以經典搪瓷金屬三角形標誌，以再生尼龍縫製，這種再生尼龍紗線(ECONYL®)是以回收自海洋的塑膠垃圾、漁網及紡織纖維廢料循環再造並淨化製造。,"NT$ 66,000",image/prada/man/43.jpg
110,再生尼龍及平織布T恤,白色,棉,"Minimalist, contemporary, casual.",Casual or smart-casual events.,Logo,Prada平織布T恤是品牌的必備單品之一。T恤簡約中見奢華的設計及高雅魅力，重塑基本必需品並賦予嶄新意義。T恤正面綴有以創新永續的再生尼龍縫製的拉鍊口袋。搪瓷金屬三角形標誌增添經典韻味。,"NT$ 27,500",image/prada/man/44.jpg
111,平織布及再生尼龍T恤,白色/白色,棉,"Modern, sleek, athletic, casual.",Casual or sporty events.,"Solid, logo.",Prada平織布T恤是品牌的必備款式，體現簡約中見奢華的品牌格調，儼然成為一種態度，追求重塑基本必需品並賦予嶄新意義。設計飾以再生尼龍拼縫，這是以回收自海洋的循環再造塑料製成的永續創新面料。印花字樣標誌增添經典氣息。,"NT$ 35,000",image/prada/man/45.jpg
112,羊毛及再生尼龍華達呢連帽衛衣,黑色,羊毛,"Sleek, modern, urban.",Urban streetwear.,Solid.,再生尼龍華達呢連帽衛衣採用運動風設計，面料以回收海洋塑膠廢料製造的特別尼龍紗線製造。連帽衛衣配以拉鍊開合，正面綴有經典搪瓷金屬三角形標誌。,"NT$ 70,000",image/prada/man/46.jpg
113,再生尼龍背心,黑色,尼龍,"Contemporary, urban, minimalist.","Casual, streetwear, or fashion-forward event.","Solid, monochromatic, emblem.",背心以再生尼龍縫製，這種再生尼龍紗線 (ECONYL®) 以回收自海洋的塑膠垃圾、漁網及紡織纖維廢料循環再造並淨化製造。服飾口袋飾以尼龍織帶，令人聯想到經典Prada袋款。,"NT$ 85,000",image/prada/man/47.jpg
114,再生尼龍軍裝背心,菸草色,尼龍,"Classic, tailored, formal.","Casual, workwear, everyday.",Solid,這款背心以再生尼龍製造，兩個寬敞揭蓋口袋確立其軍裝設計。再生尼龍是由收集自海洋的塑料再造而成，經處理後成為嶄新的面料。金屬三角形標誌以經典特色點綴造型。,"NT$ 43,000",image/prada/man/48.jpg
115,再生尼龍長褲,菸草色,尼龍,"Classic, formal, tailored.","Business, formal events.","Solid, navy blue",這款長褲以含蓄線條和舒適剪裁見稱，選用的創新再生尼龍是以收集自海洋的再造塑料生產的再生布料。設計彰顯品牌的混搭精神，結合經典和創新元素，交織成持續不斷的美學對話。側面的搪瓷金屬三角形標誌萬眾矚目。,"NT$ 43,000",image/prada/man/49.jpg
116,再生尼龍長褲,藍色,尼龍,"Utilitarian, tactical, casual","Workwear, outdoor activities, or casual events.",Solid,長褲以舒適剪裁和含蓄線條見稱，選用的創新再生尼龍是以收集自海洋的循環再造塑料生產的再生布料。服飾彰顯品牌的混搭精神，結合經典款式和創新元素，交織成持續不斷的美學對話。側面的搪瓷金屬三角形標誌搶眼奪目。,"NT$ 43,000",image/prada/man/50.jpg
117,羊毛混紡大衣,深米色,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"Classic, tailored, elegant","Formal, Business, Casual, Autumn, Winter","Solid, monochromatic.","聚酯纖維 78%, 羊毛 22%","NT$1,999",image/hm/man/1.jpg
118,標準剪裁連帽上衣,黑色/Red Hot Chili Peppers,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"Casual, graphic, urban, contemporary.",Casual,"Logo, text, floral.","棉 63%, 聚酯纖維 37%",NT$799,image/hm/man/2.jpg
119,標準剪裁連帽上衣,黑色/Discovery頻道,"棉 60%, 聚酯纖維 40%","Casual, contemporary, graphic-printed, urban, sporty.",Casualwear,"Stripes, landscapes, text, logo.",長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,NT$799,image/hm/man/3.jpg
120,休閒剪裁運動衫,咖啡色/寶可夢,"棉 59%, 聚酯纖維 41%",Casual.,Casual,"Monogram, embroidery.",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$999,image/hm/man/4.jpg
121,休閒剪裁運動衫,白色/南方四賤客,"棉 60%, 聚酯纖維 40%","Casual, contemporary, graphic-printed.",Casualwear,"Logo, characters, text.",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$999,image/hm/man/5.jpg
122,休閒剪裁運動衫,黑色/米老鼠,"棉 60%, 聚酯纖維 40%","Contemporary, graphic, casual, monochromatic.","Casualwear, leisure, informal events.","Speech balloons, hand gesture.",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$999,image/hm/man/6.jpg
123,休閒剪裁絨布襯衫式外套,酒紅色,棉 100%,"Casual, corduroy, buttoned, collared, solid-colored, structured.","Casual, everyday, urbanwear, streetwear.",Corduroy,有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,"NT$1,299",image/hm/man/7.jpg
124,夾克襯衫,黑色,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%","Classic, simplistic, monochromatic, utilitarian.","Casual, Work, Everyday.",Solid.,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"NT$1,299",image/hm/man/8.jpg
125,休閒剪裁圖案連帽上衣,亮紅色,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty.","Casual, sportswear, loungewear, streetwear.",Logo,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/9.jpg
126,休閒剪裁運動衫,海軍藍/史努比,"棉 60%, 聚酯纖維 40%","Casual, sporty, graphic-print.","Casualwear, loungewear, sportswear.","Typography, mascot, logo",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$999,image/hm/man/10.jpg
127,標準剪裁提花針織套衫,酒紅色,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%","Traditional, cozy, patterned, knit, wintery.","Casual, winter, holiday, outdoors.","Fair Isle, geometric, zigzags, diamonds, horizontal bands.",柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"NT$1,799",image/hm/man/11.jpg
128,標準剪裁羊毛混紡套衫,混米色,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%","Classic, textured, knitted, neutral-colored.","Casual, cold weather, autumn, winter, everyday wear.","Cable-knit, ribs, diamonds, twists",絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,"NT$1,799",image/hm/man/12.jpg
129,夾克襯衫,米色/格紋,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%","Classic, plaid, casual.","Casual, Outdoor, Everyday Wear",Plaid,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"NT$1,299",image/hm/man/13.jpg
130,標準剪裁牛津襯衫,酒紅色,棉 100%,"Casual, simple, classic",Casual-business,Solid,棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,NT$799,image/hm/man/14.jpg
131,標準剪裁法蘭絨襯衫,紅色/黑色格紋,棉 100%,"Casual, checkered, classic, comfortable.",Casualwear,Plaid,柔軟棉質法蘭絨襯衫，翻領，正面鈕扣開襟，背面有肩襠，標準剪裁，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,NT$999,image/hm/man/15.jpg
132,傘兵工作褲,黑色,聚酯纖維 100%,"Casual, utilitarian, practical, modern.","Casual, outdoor activities, hiking, streetwear.","Solid, monochrome",傘兵工作褲，平織布料，休閒剪裁，鬆緊帶腰圍配抽繩，假門襟。有斜側袋和一個假嵌線後袋，寬鬆褲管有翻蓋袋，膝部抓褶可增加寬鬆度。褲腳彈性抽繩有繩扣。,"NT$1,499",image/hm/man/16.jpg
133,DryMove™寬鬆剪裁連帽上衣,黑色,棉 100%,"Casual, sporty, contemporary","Casual, loungewear, sportswear","Geometric shapes, lines, hoodie.",連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,"NT$1,499",image/hm/man/17.jpg
134,休閒剪裁運動衫,深灰色/菲力貓,"棉 60%, 聚酯纖維 40%","Casual, graphic, vintage-inspired.",Casualwear,"Character, lettering.",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$999,image/hm/man/18.jpg
135,寬鬆剪裁拉鍊泰迪熊上衣,黑色,聚酯纖維 100%,"Casual, plush, comfortable, simple, warm.","Casual, Everyday, Outdoor, Autumn, Winter","Solid color, no pattern",柔軟泰迪熊上衣，立領，正面拉鍊開襟，垂肩長袖，有隱形側袋，寬鬆剪裁，袖口和下襬有覆面鬆緊帶。,NT$799,image/hm/man/19.jpg
136,合身運動長褲,米色,棉 100%,"Casual, comfortable, sporty, minimalistic, relaxed-fit.","Casual, loungewear, athletic, relaxation","Solid, neutral, plain",運動長褲，輕薄棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。標準剪裁，打造舒適經典線條。,NT$599,image/hm/man/20.jpg
137,寬鬆剪裁拉鍊連帽外套,米色/Universal Mysteries,"棉 60%, 聚酯纖維 40%","Casual, contemporary, minimalistic.","Casual, Sportswear, Loungewear","Solid-color, branding",汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/21.jpg
138,休閒剪裁圖案連帽上衣,深紫色,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty, modern, simple.",Casualwear,"Graphic, illustration.",長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/22.jpg
139,DryMove™ Sports T-shirt,咖啡色/印花,聚酯纖維 100%,"Casual, printed, contemporary.",Casualwear.,"Marbling, logo.","Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",NT$349,image/hm/man/23.jpg
140,寬鬆剪裁拉鍊連帽外套,深藍色/Mysteries,"棉 60%, 聚酯纖維 40%","Casual, sporty, functional, comfortable, simple, contemporary.",Casualwear,"Solid, logo.",汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/24.jpg
141,標準剪裁寬高領開襟衫,深灰色,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%","Classic, cozy, knitted, casual.","Casual, everyday wear, cold weather.","Heathered, knit, ribbing.",柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"NT$1,799",image/hm/man/25.jpg
142,DryMove™寬鬆剪裁連帽上衣,淺米色,棉 100%,"Casual, comfortable, minimalist, contemporary.",Casualwear,"Logo, solid-color",連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,"NT$1,499",image/hm/man/26.jpg
143,直筒中腰牛仔褲,丹寧藍,"棉 98%, 彈性纖維 2%","Casual, faded, denim, classic, straight-leg.","Casual, Everyday, Streetwear.","Gradation, denim, whiskering, fading, stitching.",5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"NT$1,499",image/hm/man/27.jpg
144,標準剪裁圖案連帽上衣,深藍色,"棉 58%, 聚酯纖維 42%","Casual, sporty, comfortable, contemporary.","Casualwear, Sportswear, Loungewear",Solid-color,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/28.jpg
145,標準剪裁絨布夾克襯衫,奶油色,棉 100%,"Casual, contemporary, relaxed-fit, utilitarian.","Casual, Business-Casual",Vertical stripes.,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,"NT$1,499",image/hm/man/29.jpg
146,休閒剪裁運動長褲,海軍藍,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty, simple, relaxed.","Athletics, casual-wear, lounging, exercise.","Solid, navy",運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,NT$599,image/hm/man/30.jpg
147,THERMOLITE® 標準剪裁平紋上衣,鼠尾草綠,"棉 60%, 聚酯纖維 40%","Simple, casual, basic.",Casualwear,Solid,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,NT$499,image/hm/man/31.jpg
148,標準剪裁圖案連帽上衣,深灰色/Universal Mysteries,"棉 58%, 聚酯纖維 42%","Casual, sporty, comfortable",Casualwear,"Solid-color, graphic-print",連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/32.jpg
149,THERMOLITE® 標準剪裁平紋上衣,淺米色,"棉 60%, 聚酯纖維 40%","Simple, casual, basic, neutral, minimalist.",Casualwear,Plain,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,NT$499,image/hm/man/33.jpg
150,標準剪裁提花針織套衫,深咖啡色/印花,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%","Traditional, patterned, cozy, knitwear","Casual, Autumn, Winter, Everyday.","Fair Isle, geometric, zigzag, diamonds, horizontal bands.",柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"NT$1,799",image/hm/man/34.jpg
151,寬鬆剪裁連帽上衣,淺咖啡色,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty, relaxed, simple.","Casual, Sport, Leisure","Solid color, no pattern.",連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,NT$599,image/hm/man/35.jpg
152,貼身輕薄鋪棉背心,黑色,聚酯纖維 100%,"Casual, practical, insulated, lightweight.","Casual, Outdoor, Autumn-Winter",Quilting,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,NT$999,image/hm/man/36.jpg
